"SUID","coexpression","cooccurrence","databases","experiments","fusion","interaction","interspecies","name","neighborhood","score","selected","shared interaction","shared name","textmining"
"15473","0.056",,,,,"pp",,"CX3CL1 (pp) CCL7",,"0.716","false","pp","CX3CL1 (pp) CCL7","0.712"
"15474",,,"0.9",,,"pp",,"CX3CL1 (pp) OXER1",,"0.9","false","pp","CX3CL1 (pp) OXER1",
"15475",,,,,,"pp",,"CX3CL1 (pp) TLR7",,"0.424","false","pp","CX3CL1 (pp) TLR7","0.424"
"15476",,,"0.9",,,"pp",,"CX3CL1 (pp) HCAR2",,"0.904","false","pp","CX3CL1 (pp) HCAR2","0.086"
"15477",,,"0.9",,,"pp",,"CX3CL1 (pp) ADCY7",,"0.901","false","pp","CX3CL1 (pp) ADCY7","0.054"
"15478","0.056",,"0.9",,,"pp",,"CX3CL1 (pp) PSAP",,"0.904","false","pp","CX3CL1 (pp) PSAP","0.067"
"15479",,,,"0.313",,"pp",,"CX3CL1 (pp) ITGA4",,"0.465","false","pp","CX3CL1 (pp) ITGA4","0.254"
"15480","0.055",,,"0.369",,"pp",,"CX3CL1 (pp) ITGB2",,"0.505","false","pp","CX3CL1 (pp) ITGB2","0.238"
"15481",,,"0.9",,,"pp",,"CX3CL1 (pp) POMC",,"0.907","false","pp","CX3CL1 (pp) POMC","0.111"
"15482",,,,,,"pp",,"CX3CL1 (pp) IL6",,"0.681","false","pp","CX3CL1 (pp) IL6","0.681"
"15483","0.062",,"0.9",,,"pp",,"CX3CL1 (pp) CXCR4",,"0.959","false","pp","CX3CL1 (pp) CXCR4","0.607"
"15484",,,,,,"pp",,"CX3CL1 (pp) TLR6",,"0.417","false","pp","CX3CL1 (pp) TLR6","0.417"
"15485","0.055",,,,,"pp",,"CX3CL1 (pp) TNF",,"0.801","false","pp","CX3CL1 (pp) TNF","0.797"
"15486",,,,,,"pp",,"CX3CL1 (pp) IL10",,"0.676","false","pp","CX3CL1 (pp) IL10","0.676"
"15487","0.088",,,,,"pp",,"CX3CL1 (pp) CD200",,"0.676","false","pp","CX3CL1 (pp) CD200","0.66"
"15488",,,"0.9",,,"pp",,"CX3CL1 (pp) GNGT2",,"0.9","false","pp","CX3CL1 (pp) GNGT2",
"15489",,,"0.9",,,"pp",,"CX3CL1 (pp) HCAR3",,"0.9","false","pp","CX3CL1 (pp) HCAR3",
"15490","0.049",,"0.9",,,"pp",,"CX3CL1 (pp) CCR3",,"0.953","false","pp","CX3CL1 (pp) CCR3","0.549"
"15491","0.049",,,,,"pp",,"CX3CL1 (pp) ITGAM",,"0.602","false","pp","CX3CL1 (pp) ITGAM","0.599"
"15492",,,"0.9",,,"pp",,"CX3CL1 (pp) BDKRB2",,"0.9","false","pp","CX3CL1 (pp) BDKRB2",
"15493","0.049",,,,,"pp",,"CX3CL1 (pp) ITGAX",,"0.46","false","pp","CX3CL1 (pp) ITGAX","0.455"
"15494",,,"0.9",,,"pp",,"CX3CL1 (pp) S1PR2",,"0.904","false","pp","CX3CL1 (pp) S1PR2","0.087"
"15495",,,"0.9",,,"pp",,"CX3CL1 (pp) FPR2",,"0.913","false","pp","CX3CL1 (pp) FPR2","0.166"
"15496",,,,,,"pp",,"CX3CL1 (pp) FLT3LG",,"0.42","false","pp","CX3CL1 (pp) FLT3LG","0.42"
"15497",,,"0.9",,,"pp",,"CX3CL1 (pp) FPR1",,"0.91","false","pp","CX3CL1 (pp) FPR1","0.141"
"15498",,,,,,"pp",,"CX3CL1 (pp) CCL3",,"0.698","false","pp","CX3CL1 (pp) CCL3","0.698"
"15499","0.06",,,,,"pp",,"CX3CL1 (pp) CCL18",,"0.447","false","pp","CX3CL1 (pp) CCL18","0.436"
"15500",,,,,,"pp",,"CX3CL1 (pp) CCL23",,"0.44","false","pp","CX3CL1 (pp) CCL23","0.44"
"15501","0.06",,"0.9",,,"pp",,"CX3CL1 (pp) CCL4",,"0.966","false","pp","CX3CL1 (pp) CCL4","0.675"
"15502","0.06",,"0.9",,,"pp",,"CX3CL1 (pp) CCL4L1",,"0.949","false","pp","CX3CL1 (pp) CCL4L1","0.505"
"15503",,,"0.6",,,"pp",,"CRY1 (pp) PRKAB1",,"0.674","false","pp","CRY1 (pp) PRKAB1","0.22"
"15504",,,,,,"pp",,"CRY1 (pp) HNF1A",,"0.434","false","pp","CRY1 (pp) HNF1A","0.434"
