"","gene","lfc1","lfc2","lfc3","lfc4e","lfc4s"
"106","FBXL3",-0.871154793407218,-0.584931667009787,-0.930969966331781,-0.504425310568004,-0.423890041105586
"107","ITGAL",-0.475336952406045,-2.04301713365146,-1.57389967943522,-0.942753346523167,-0.510875830043995
"108","PDK2",-1.42517558060521,-0.859592936512177,-1.12871317542927,-0.906305618400434,-0.942952440713434
"109","ITGA3",-0.196161596782317,-0.802401385126034,-0.441909023880257,-0.382008400824716,-0.728807758219371
"110","ZFX",0.161119070016314,-0.194155378493296,-0.324923263548967,-0.157287600187294,0.11836324926094
"111","LAMP2",0.00371993092279047,0.389069978907945,-0.00925130602200966,0.410076331012538,0.448953701800762
"112","ITGA2B",0.421365332956263,-0.279307836115997,0.0911478153431882,0.63327660265549,0.207714656143836
"113","ASB4",2.26615483308352,1.7436956738436,1.85475803315295,1.24222361518703,2.50222206168098
"114","GDE1",-0.854188472133564,-0.676936300427323,-0.652709795731721,-0.772474275003177,-0.814414731711057
"115","C19orf60",1.05573533945788,1.3450647083194,1.24168391295066,1.11370576388083,0.547303466071349
"116","CRLF1",-0.23744462349986,-1.05491283352061,-1.19584793464709,-0.422162461420514,0.337229952088362
"117","OSBPL7",-0.613243382146655,-0.467259208837099,0.0838819223840299,-0.728081800233465,-0.986477564136207
"118","TMEM98",-1.34365337027625,-0.507089205663153,-0.655016134367727,-0.692058432072018,-0.788348443500369
"119","YBX2",-0.218903056531911,-0.321635632956957,0.0589735631823696,-0.733199278794764,-1.02321181835864
"120","KRT33A",0.566584692816407,0.761590694372052,0.462324286503266,0.997122664565512,0.930151782855212
"121","MAP3K14",-0.444214828046201,-0.517821956930563,-0.517612379883111,-0.430561397499768,-0.344075880071053
"122","ABCC8",-1.96388680675573,-3.06641696673495,-1.62723224535258,-2.01118784434898,-1.21355361454029
"123","CACNG3",0.42710253702331,0.361343603185466,0.220104460515376,0.403278136397671,0.80807315868745
"124","TMEM132A",2.77066584494606,2.38398937038425,2.10740068680334,2.90173570948227,2.58843777466012
"125","AP2B1",0.328330981905397,0.074363607426659,0.263506096903446,-0.0606275223849877,-0.0567571622631286
"126","TAC1",-2.85656466266746,0.125308121008217,-1.45872908522711,0.244039980527342,0.118324153658955
"127","ZNF263",0.519176169682628,0.835579985261849,0.71169575056926,0.650997053389677,0.625767740321837
"128","CX3CL1",1.24009160454665,-0.437095739285447,-0.144624802850933,0.0575988985465734,0.615431884679854
"129","SPATA20",-0.491967058453525,-0.27712748356736,0.0511202805824207,-0.406105014696987,-0.254889417677023
"130","CACNA1G",-0.861925085320287,-0.732015461515142,-1.34835501068238,-0.177646389400273,0.701396569520743
"131","TNFRSF12A",2.20509477061016,2.26414476342976,1.93572548235585,2.4072165005471,2.21748981577459
"132","DLX6",3.00331269114175,4.36420733262199,4.30966747763987,3.81861753824754,3.8576917071906
"133","MAP3K9",0.465839697415137,-0.036285193267792,0.429010960731567,-0.0981482888658032,0.0851401555616299
"134","RALA",0.081462001305659,0.259690743462593,0.164072682697957,0.217411047676945,0.111417520704435
"135","BAIAP2L1",0.0176392696360643,0.220796244446844,0.590663379328464,0.115615074691682,0.0522422825769887
"136","KDM7A",-0.0595860720893723,0.169301055886266,0.212413037754522,0.179485942566006,0.363400864616647
"137","ETV1",0.705859615936543,-0.979258249269832,-0.0879168710871387,0.516210856222876,0.505237614426139
"138","AGK",0.226001614582373,0.739587109643921,0.677710050262813,0.440345001613528,0.479295332120408
"139","ALDH3B1",0.323425275907314,0.144569796422018,0.561150732270381,0.448789862231008,0.228095269336726
"140","TTC22",-1.66145869533513,-1.53697456210237,-1.24826664113094,-1.76932092141665,-1.96268724754269
"141","PHTF2",0.303105078673545,0.00274505294446562,-0.121012558203449,0.485135199649129,0.494603938682113
"142","CCL26",3.31143178749189,0.460061674223438,2.7804643899583,1.85319047801691,1.82840209344268
"143","FARP2",-0.00263707428756458,-0.0943858512340244,0.0745299857363165,-0.290151963438184,-0.168590913478966
"144","USH1C",-0.70425586042703,-0.0968787037458042,-0.0530717412181606,-0.471215395326003,-0.473400221253843
"145","GGCT",0.73888603557097,1.3663142279188,1.12707292544568,0.863556420720426,0.789191755761779
"146","DBF4",1.2096484684944,1.2740039296333,1.03228402110492,0.87002868057,0.880873269018205
"147","TBXA2R",-0.353271097345728,-0.637042069601877,-1.09066855956404,0.389929138089471,0.115819012553351
"148","IFRD1",0.229258043186902,0.616314337429892,0.315515477825294,0.513660169157458,0.475928527283323
"149","LGALS14",-1.16623260361235,2.1100836510158,-1.21772464801436,1.50505650631334,2.74798143032208
"150","COX10",-0.276061994650184,-0.472239524362303,-0.21843817692421,-0.6929026148198,-0.770426998837837
"151","GTF2IRD1",1.40129498590101,2.48841750846497,2.06737432980092,2.17173934005407,2.11056367854299
"152","PAF1",-0.0359344279411585,-0.207633095507536,0.0316189147112436,-0.114162269118364,0.038549334611994
"153","VPS41",-0.230419126425039,0.12216446181029,0.00774912510649489,0.238624531419651,0.214108273209287
"154","ARHGAP44",-2.36523999532107,-2.0567968458954,-2.06673314013248,-2.38301427459012,-2.28086589949905
"155","ELAC2",0.584635860707033,0.0962586729123437,0.410615454482559,0.0952472300358698,0.0566187256266357
"156","SCIN",-2.24796428414251,-3.18717377572481,-1.96083104765598,-2.93343066953996,-2.75157780032026
"157","ARSD",-0.484286599346887,-0.0783760325318164,0.125053981800525,-0.213841009397219,-0.245078549591582
"158","PNPLA4",-0.298098086649909,0.377033179295965,0.118164758913782,-0.0000728387284614889,-0.266181271845801
"159","MYH13",0.392845266173519,-0.69427509772332,-0.898280416990789,0.658850244314773,0.410481313450373
"160","ADIPOR2",-0.317323852760382,-0.29608449757756,0.177274625745796,-0.306632740202253,-0.474613058380524
"161","CDKL3",0.605339735618644,0.654117553288227,0.522791108918001,0.793782691246791,0.920307853396298
"162","UPP2",1.35641854740834,0.27911615862838,0.401462903169665,0.336541753661987,1.65001524288947
"163","PRSS21",2.56408652637925,0.772699480139628,1.31726683242814,1.36547711263181,2.12351481853986
"164","MARK4",0.170455857071996,0.105687211958992,0.112970342999298,0.296377001945132,0.306105398325854
"165","PROM1",0.184590878278717,-0.0495996182291643,0.293729422488594,-0.105989852987901,-0.358914459188191
"166","CCDC124",0.465259839628823,0.517491674380923,0.528530646613178,0.42986392119646,0.303778059120648
"167","CEACAM21",-0.563264433638814,-1.00006840495191,-1.34724929380985,-0.481979281174626,-0.346384550074053
"168","PAFAH1B1",-0.484029185763059,-0.981319760588655,-0.716132008860356,-0.6515820152271,-0.572735235203808
"169","NOS2",0.562125421373992,-0.510294006450396,0.985784157631926,-0.997732994489867,-1.28792040826044
